               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.013343,            0.014397,          0.00056109,             0.92198,             0.82066,             0.89582,             0.61615,             0.02241,            0.034153,           0.0016678,            0.070175,           0.0033138,           0.0033138
                   1,            0.016388,            0.019373,          0.00075058,             0.92283,             0.82989,             0.88158,             0.60499,            0.023518,            0.032237,           0.0017054,            0.040109,           0.0065807,           0.0065807
                   2,            0.021977,            0.019861,           0.0008596,             0.93086,             0.82526,             0.87838,             0.58366,            0.024267,            0.031251,           0.0017502,           0.0099758,           0.0097809,           0.0097809
                   3,            0.021154,            0.019828,           0.0011141,             0.94609,             0.77715,             0.84827,             0.55681,            0.025348,            0.032039,           0.0021604,              0.0097,              0.0097,              0.0097
                   4,            0.022138,            0.021106,          0.00097766,             0.93835,             0.78385,             0.85281,             0.55217,            0.026517,             0.03297,           0.0023872,              0.0097,              0.0097,              0.0097
                   5,            0.021979,            0.019944,           0.0010544,             0.94893,             0.77174,             0.81986,             0.54142,            0.025771,            0.033619,           0.0028124,              0.0096,              0.0096,              0.0096
                   6,            0.020816,            0.019093,           0.0011004,             0.90998,             0.78889,             0.83931,             0.55598,            0.024956,            0.033722,           0.0028223,              0.0095,              0.0095,              0.0095
                   7,            0.020585,            0.018764,           0.0012332,             0.94505,             0.79472,             0.87056,             0.57108,            0.025497,            0.032959,           0.0022372,              0.0094,              0.0094,              0.0094
                   8,            0.021454,            0.020193,           0.0012808,             0.86593,             0.80312,             0.84756,             0.54011,            0.024748,            0.032766,           0.0021993,              0.0093,              0.0093,              0.0093
                   9,            0.020518,            0.019034,           0.0010295,             0.86126,              0.7836,             0.81544,             0.52015,            0.024586,            0.034516,           0.0032092,              0.0092,              0.0092,              0.0092
                  10,            0.019584,            0.020445,           0.0012366,             0.87111,             0.78586,             0.84553,             0.55745,            0.024433,            0.032447,           0.0032994,              0.0091,              0.0091,              0.0091
                  11,            0.019782,            0.019758,            0.001155,             0.90561,             0.79451,             0.84374,             0.55513,            0.024724,            0.032182,           0.0025877,               0.009,               0.009,               0.009
                  12,            0.019937,            0.019532,           0.0011079,              0.9203,             0.78467,             0.80991,             0.54725,            0.024492,            0.033346,           0.0024985,              0.0089,              0.0089,              0.0089
                  13,            0.019538,            0.018072,           0.0011481,              0.8762,             0.75572,             0.80765,              0.5439,            0.024203,            0.034279,           0.0021867,              0.0088,              0.0088,              0.0088
                  14,            0.019157,            0.017998,           0.0012849,             0.89173,             0.79403,             0.82393,              0.5446,            0.024372,            0.033257,           0.0024806,              0.0087,              0.0087,              0.0087
                  15,            0.021717,            0.020516,           0.0012508,             0.88169,             0.80479,             0.83907,             0.56125,            0.025312,            0.032632,           0.0033197,              0.0086,              0.0086,              0.0086
                  16,            0.020607,            0.019135,           0.0010526,             0.89418,             0.81064,             0.82346,             0.54624,            0.024881,            0.033551,           0.0031246,              0.0085,              0.0085,              0.0085
                  17,             0.02053,              0.0191,           0.0010877,             0.90165,             0.77937,             0.84276,             0.54775,            0.024922,             0.03218,           0.0025884,              0.0084,              0.0084,              0.0084
                  18,            0.020425,            0.019068,            0.001087,              0.8315,             0.83317,             0.84027,             0.54483,            0.025603,             0.03267,            0.003127,              0.0083,              0.0083,              0.0083
                  19,            0.020254,            0.020033,          0.00096459,             0.88144,              0.8003,             0.82619,             0.55743,            0.024403,            0.032263,           0.0029628,              0.0082,              0.0082,              0.0082
                  20,            0.019489,            0.018834,           0.0010716,             0.91147,              0.8155,             0.83143,              0.5484,            0.023819,            0.031789,           0.0027179,              0.0081,              0.0081,              0.0081
                  21,            0.020219,            0.019118,          0.00093592,             0.92578,             0.75285,             0.82651,             0.56018,            0.023264,            0.032829,           0.0030584,               0.008,               0.008,               0.008
                  22,            0.018754,            0.018307,          0.00088401,             0.93504,              0.7748,             0.82881,             0.55988,             0.02345,            0.032761,           0.0027508,              0.0079,              0.0079,              0.0079
                  23,            0.017785,            0.017931,          0.00087978,             0.84837,             0.80806,             0.84293,             0.57474,            0.023039,            0.033397,           0.0029095,              0.0078,              0.0078,              0.0078
                  24,            0.018837,            0.018843,          0.00087294,              0.9602,              0.7594,             0.84738,             0.57243,            0.023728,            0.033469,           0.0020687,              0.0077,              0.0077,              0.0077
                  25,            0.018103,             0.01797,          0.00084757,             0.94904,             0.75917,             0.85155,             0.57855,            0.022917,            0.033763,           0.0024412,              0.0076,              0.0076,              0.0076
                  26,            0.017905,            0.017418,           0.0010191,             0.85147,             0.82077,             0.83957,             0.56523,            0.022847,            0.033834,           0.0029742,              0.0075,              0.0075,              0.0075
                  27,             0.01782,            0.019238,          0.00087919,             0.86762,             0.83251,             0.84748,             0.56297,            0.023577,            0.033613,           0.0026778,              0.0074,              0.0074,              0.0074
